,RELAP Time (hr),RELAP First Component (mg/L),RELAP Second Component (mg/L),RELAP Combined (mg/L)
125,32.565137755511024,0.011837223523655571,0.10935861989704969,0.12119584342070526
126,32.82565877755511,0.01133850330144978,0.10811630082344545,0.11945480412489523
127,33.0861797995992,0.010860837375436541,0.10688645010422941,0.11774728747966595
128,33.34670082164329,0.010403342373827434,0.10566908668351215,0.11607242905733958
129,33.60722184368738,0.009965170173706166,0.10446421736547945,0.11442938753918562
130,33.867742865731465,0.009545511245832299,0.1032718411944937,0.11281735244032601
131,34.12826388777555,0.009143582179034769,0.10209194751399077,0.11123552969302554
132,34.38878490981964,0.008758639351896592,0.10092451767354946,0.10968315702544605
133,34.64930593186373,0.00838996520690908,0.09976952505413034,0.10815949026103941
134,34.90982695390782,0.008036876550552751,0.09862693625086379,0.10666381280141654
135,35.170347975951906,0.007698712726868123,0.09749671297744195,0.10519542570431006
136,35.430868997995994,0.007374843117632009,0.09637880701718558,0.10375365013481759
137,35.69139002004008,0.007064666255543276,0.0952731670123161,0.10233783326785938
138,35.95191104208417,0.006767601302459356,0.09417973592170699,0.10094733722416635
139,36.21243206412826,0.006483095839859165,0.09309845180787951,0.09958154764773867
140,36.472953086172346,0.0062106151127040475,0.09202924782553053,0.09823986293823457
141,36.733474108216434,0.005949652303753125,0.09097205331483693,0.09692170561859005
142,36.99399513026052,0.005699718880798848,0.08992679348826353,0.09562651236906237
143,37.25451615230461,0.005460350211827717,0.08889339011316133,0.09435374032498904
144,37.5150371743487,0.005231094317736771,0.08787176223566594,0.09310285655340271
145,37.77555819639279,0.005011527853211729,0.08686182415814152,0.09187335201135324
146,38.036079218436875,0.004801235001664643,0.08586349071296978,0.09066472571463442
147,38.29660024048096,0.004599825685323415,0.08487667019909148,0.08947649588441489
148,38.55712126252505,0.004406922547258758,0.0839012715016789,0.08830819404893767
149,38.81764228456914,0.004222166157649734,0.0829372010531393,0.08715936721078904
150,39.07816330661323,0.004045208319431984,0.08198436229391964,0.08602957061335163
